CO_ENTIDADE;ANO;total_medalhas_na_edicao;medalhas_nivel_1;medalhas_nivel_2;medalhas_nivel_3;escola;uf;municipio;pontuacao_ponderada_total_2010_2023;total_medalhas_simples_2010_2023;IN_SALA_LEITURA;IN_VINCULO_OUTRO_ORGAO;TP_DEPENDENCIA;IN_BANHEIRO_PNE;IN_BIBLIOTECA;IN_ORGAO_GREMIO_ESTUDANTIL;IN_VINCULO_SEGURANCA_PUBLICA;QT_MAT_FUND_AF;IN_QUADRA_ESPORTES_COBERTA;IN_ENERGIA_REDE_PUBLICA;IN_ALIMENTACAO;QT_TUR_BAS;IN_EXAME_SELECAO;IN_LABORATORIO_CIENCIAS;QT_DOC_FUND_AF;IN_AGUA_POTAVEL;IN_BANDA_LARGA;NO_MUNICIPIO;QT_DOC_BAS;IN_LABORATORIO_INFORMATICA;IN_INTERNET;IN_ORGAO_CONSELHO_ESCOLAR;TP_LOCALIZACAO;IN_VINCULO_SECRETARIA_EDUCACAO;QT_COMP_ALUNO;TP_SITUACAO_FUNCIONAMENTO;QT_MAT_MED;IN_ESGOTO_REDE_PUBLICA;IN_VINCULO_SECRETARIA_SAUDE;SG_UF;QT_MAT_BAS;QT_TUR_FUND_AF;QT_DOC_MED;CO_MUNICIPIO;IN_ACESSIBILIDADE_RAMPAS;QT_TUR_MED
53001354;2010;79.0;32.0;23.0;24.0;COL MILITAR DE BRASILIA;DF;BRASILIA;1720;946;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1502.0;0.0;1.0;1.0;94.0;0.0;1.0;112.0;0.0;0.0;Brasília;200.0;1.0;1.0;0.0;1.0;0.0;32.0;1.0;1542.0;1.0;0.0;DF;3044.0;48.0;100.0;5300108.0;0.0;46.0
53001354;2011;97.0;34.0;35.0;28.0;COL MILITAR DE BRASILIA;DF;BRASILIA;1720;946;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1393.0;1.0;1.0;1.0;92.0;0.0;1.0;114.0;0.0;0.0;Brasília;227.0;1.0;1.0;0.0;1.0;0.0;32.0;1.0;1468.0;1.0;0.0;DF;2861.0;45.0;130.0;5300108.0;0.0;47.0
53001354;2012;97.0;36.0;34.0;27.0;COL MILITAR DE BRASILIA;DF;BRASILIA;1720;946;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1401.0;1.0;1.0;1.0;87.0;0.0;1.0;110.0;0.0;1.0;Brasília;227.0;1.0;1.0;0.0;1.0;0.0;31.0;1.0;1552.0;1.0;0.0;DF;2953.0;42.0;131.0;5300108.0;0.0;45.0
53001354;2013;74.0;22.0;27.0;25.0;COL MILITAR DE BRASILIA;DF;BRASILIA;1720;946;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1205.0;1.0;1.0;1.0;87.0;0.0;1.0;106.0;0.0;1.0;Brasília;228.0;1.0;1.0;0.0;1.0;0.0;31.0;1.0;1565.0;1.0;0.0;DF;2770.0;41.0;125.0;5300108.0;0.0;46.0
53001354;2014;100.0;39.0;38.0;23.0;COL MILITAR DE BRASILIA;DF;BRASILIA;1720;946;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1147.0;1.0;1.0;1.0;89.0;0.0;1.0;104.0;0.0;1.0;Brasília;218.0;1.0;1.0;0.0;1.0;0.0;31.0;1.0;1404.0;1.0;0.0;DF;2551.0;40.0;130.0;5300108.0;0.0;49.0
53001354;2015;60.0;21.0;28.0;11.0;COL MILITAR DE BRASILIA;DF;BRASILIA;1720;946;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1148.0;1.0;1.0;1.0;85.0;0.0;1.0;103.0;0.0;1.0;Brasília;213.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;980.0;1.0;0.0;DF;2128.0;39.0;128.0;5300108.0;0.0;46.0
53001354;2016;12.0;3.0;8.0;1.0;COL MILITAR DE BRASILIA;DF;BRASILIA;1720;946;0.0;0.0;1.0;1.0;1.0;0.0;0.0;800.0;1.0;1.0;1.0;81.0;0.0;1.0;95.0;0.0;1.0;Brasília;214.0;1.0;1.0;0.0;1.0;0.0;20.0;1.0;832.0;1.0;0.0;DF;1632.0;37.0;131.0;5300108.0;0.0;44.0
53001354;2017;14.0;6.0;7.0;1.0;COL MILITAR DE BRASILIA;DF;BRASILIA;1720;946;1.0;0.0;1.0;1.0;1.0;0.0;0.0;460.0;1.0;1.0;1.0;78.0;0.0;1.0;95.0;0.0;1.0;Brasília;203.0;1.0;1.0;0.0;1.0;0.0;70.0;1.0;692.0;1.0;0.0;DF;1152.0;36.0;118.0;5300108.0;0.0;42.0
53001354;2018;114.0;29.0;46.0;39.0;COL MILITAR DE BRASILIA;DF;BRASILIA;1720;946;1.0;0.0;1.0;1.0;1.0;0.0;0.0;726.0;1.0;1.0;0.0;83.0;0.0;1.0;94.0;0.0;1.0;Brasília;204.0;1.0;1.0;0.0;1.0;0.0;70.0;1.0;845.0;1.0;0.0;DF;1571.0;39.0;125.0;5300108.0;0.0;44.0
53001354;2019;104.0;30.0;41.0;33.0;COL MILITAR DE BRASILIA;DF;BRASILIA;1720;946;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1262.0;1.0;1.0;0.0;90.0;1.0;1.0;90.0;1.0;1.0;Brasília;195.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1336.0;1.0;0.0;DF;2598.0;43.0;116.0;5300108.0;1.0;47.0
