escola,uf,municipio,pontuacao_ponderada_total_2010_2023,total_medalhas_simples_2010_2023,edicao,total_medalhas_na_edicao,medalhas_nivel_1,medalhas_nivel_2,medalhas_nivel_3
COL MILITAR DE BRASILIA,DF,BRASILIA,1720,946,2023,62,17,25,20
COL MILITAR DE BRASILIA,DF,BRASILIA,1720,946,2022,65,23,23,19
COL MILITAR DE BRASILIA,DF,BRASILIA,1720,946,2021,68,20,20,28
COL MILITAR DE BRASILIA,DF,BRASILIA,1720,946,2019,104,30,41,33
COL MILITAR DE BRASILIA,DF,BRASILIA,1720,946,2018,114,29,46,39
COL MILITAR DE BRASILIA,DF,BRASILIA,1720,946,2017,14,6,7,1
COL MILITAR DE BRASILIA,DF,BRASILIA,1720,946,2016,12,3,8,1
COL MILITAR DE BRASILIA,DF,BRASILIA,1720,946,2015,60,21,28,11
COL MILITAR DE BRASILIA,DF,BRASILIA,1720,946,2014,100,39,38,23
COL MILITAR DE BRASILIA,DF,BRASILIA,1720,946,2013,74,22,27,25
COL MILITAR DE BRASILIA,DF,BRASILIA,1720,946,2012,97,36,34,27
COL MILITAR DE BRASILIA,DF,BRASILIA,1720,946,2011,97,34,35,28
COL MILITAR DE BRASILIA,DF,BRASILIA,1720,946,2010,79,32,23,24
